VIX Analysis Results -- 2026+
====================================================================================================
Total dates: 249  |  Skipped: 0
CBOE VIX historical records: 0

===================================================================================================
Date           SPX_Spot   VIX_Comp       F1       F2       F3       F4       F5       F6 VIX_Actual
===================================================================================================
2023-01-04     3,853.39      22.09       --       --       --       --       --       --      22.01
2023-01-05     3,808.19      22.40     0.49    -0.10     0.08     0.11     0.10     0.05      22.46
2023-01-06     3,894.20      20.80     1.20    -0.32    -0.45    -0.19    -0.20    -0.08      21.13
2023-01-09     3,892.52      21.66     0.00     1.08    -0.02    -0.11     0.02    -0.05      21.97
2023-01-10     3,919.78      20.58     0.13    -0.68    -0.09    -0.10    -0.02    -0.01      20.58
2023-01-11     3,969.31      21.14     0.41     1.03    -0.14    -0.16    -0.04    -0.08      21.09
2023-01-12     3,982.87      18.63     0.03    -2.47    -0.11     0.05    -0.01     0.10      18.83
2023-01-13     3,998.71      17.70     0.03    -1.10     0.00    -0.02     0.15     0.01      18.35
2023-01-17     3,990.40      19.49     0.02     1.79     0.05    -0.13     0.08    -0.10      19.36
2023-01-18     3,928.85      20.24     0.92     0.01     0.20     0.13     0.16     0.05      20.34
2023-01-19     3,899.16      20.46     0.19    -0.31     0.19     0.11     0.14     0.03      20.52
2023-01-20     3,971.98      19.69     0.94     0.36    -0.39    -0.16    -0.20    -0.09      19.85
2023-01-23     4,019.36      19.53     0.40     0.39    -0.21    -0.13    -0.05    -0.04      19.81
2023-01-24     4,016.84      19.27     0.00    -0.08    -0.01    -0.06    -0.01    -0.01      19.20
2023-01-25     4,016.22      19.10     0.00    -0.29     0.04     0.07    -0.04     0.02      19.08
2023-01-26     4,060.18      18.59     0.31     0.23    -0.22    -0.15    -0.18    -0.08      18.73
2023-01-27     4,070.02      18.09     0.01    -0.30    -0.09    -0.02    -0.04     0.00      18.51
2023-01-30     4,018.18      19.73     0.56     1.14     0.19     0.06     0.20    -0.03      19.94
2023-01-31     4,077.16      19.20     0.55     0.13    -0.22    -0.18    -0.05    -0.06      19.40
2023-02-01     4,119.88      18.15     0.30    -0.34    -0.25    -0.12    -0.15    -0.02      17.87
2023-02-02     4,180.26      18.10     0.58     0.47    -0.30    -0.10    -0.04    -0.02      18.73
2023-02-03     4,136.27      17.98     0.40    -0.34     0.14     0.13    -0.03     0.03      18.33
2023-02-06     4,111.02      18.95     0.16     0.92     0.07    -0.06     0.09    -0.07      19.43
2023-02-07     4,163.74      18.15     0.45    -0.03    -0.25    -0.11    -0.20    -0.02      18.66
2023-02-08     4,118.33      19.65     0.47     0.93     0.23     0.08     0.18    -0.05      19.63
2023-02-09     4,081.89      20.52     0.26     0.59     0.14     0.05     0.04    -0.01      20.71
2023-02-10     4,090.54      20.03     0.01    -0.15    -0.10    -0.03    -0.13    -0.00      20.53
2023-02-13     4,137.71      20.60     0.38     0.94    -0.15    -0.13    -0.10    -0.06      20.34
2023-02-14     4,136.02      18.92     0.00    -1.48    -0.01     0.01    -0.06     0.03      18.91
2023-02-15     4,148.11      18.12    -0.01    -0.62    -0.08    -0.00    -0.01     0.02      18.23
2023-02-16     4,090.92      19.75     0.71     0.41     0.30     0.13     0.45     0.01      20.17
